date,currency,baseRate
2015-06-10,RON,0.223673615460320
2015-06-10,RUB,0.015916217033535
2015-06-10,SEK,0.106911851178703
2015-06-10,SGD,0.658067912608581
2015-06-10,THB,0.026356711736644
2015-06-10,TRY,0.325118668313935
2015-06-10,USD,0.888967908258512
2015-06-10,ZAR,0.071489848441521
2015-06-11,AUD,0.686294694942008
2015-06-11,BGN,0.511299723898149
2015-06-11,BRL,0.287678720405052
2015-06-11,CAD,0.724585174987320
2015-06-11,CHF,0.953652489032996
2015-06-11,CNY,0.142840818192207
2015-06-11,CZK,0.036605900871220
2015-06-11,DKK,0.134021309388193
2015-06-11,GBP,1.372872048325096
2015-06-11,HKD,0.114356288452302
2015-06-11,HRK,0.132608407373027
2015-06-11,HUF,0.003202356934704
2015-06-11,IDR,0.000066735092381
2015-06-11,ILS,0.231545799759192
2015-06-11,INR,0.013880406418300
2015-06-11,JPY,0.007210325185666
2015-06-11,KRW,0.000796812749004
2015-06-11,MXN,0.057375638303976
2015-06-11,MYR,0.237141027769214
2015-06-11,NOK,0.114955742039315
2015-06-11,NZD,0.637389253617184
2015-06-11,PHP,0.019702104184727
2015-06-11,PLN,0.240963855421687
2015-06-11,RON,0.223863890754421
2015-06-11,RUB,0.016264923066914
2015-06-11,SEK,0.106819347120150
2015-06-11,SGD,0.659282700421941
2015-06-11,THB,0.026354627872654
2015-06-11,TRY,0.323247995862426
2015-06-11,USD,0.886603422289210
2015-06-11,ZAR,0.071684587813620
2015-06-12,AUD,0.688089176357256
2015-06-12,BGN,0.511299723898149
2015-06-12,BRL,0.281856873079850
2015-06-12,CAD,0.722595563263242
2015-06-12,CHF,0.950299344293452
2015-06-12,CNY,0.143457615447516
2015-06-12,CZK,0.036605900871220
2015-06-12,DKK,0.134023105583403
2015-06-12,GBP,1.376273052573631
2015-06-12,HKD,0.114839569121937
2015-06-12,HRK,0.132170235263019
2015-06-12,HUF,0.003202972358349
2015-06-12,IDR,0.000066907399490
2015-06-12,ILS,0.232164000650059
2015-06-12,INR,0.013915173104753
2015-06-12,JPY,0.007196833393307
2015-06-12,KRW,0.000798575341591
2015-06-12,MXN,0.057421762848119
2015-06-12,MYR,0.237744282250012
2015-06-12,NOK,0.113817436831323
2015-06-12,NZD,0.623363670365291
2015-06-12,PHP,0.019654474341084
2015-06-12,PLN,0.241516725033209
2015-06-12,RON,0.223873914211516
2015-06-12,RUB,0.016303107372265
2015-06-12,SEK,0.108040363879946
2015-06-12,SGD,0.660720185001652
2015-06-12,THB,0.026377568515734
2015-06-12,TRY,0.325213828091970
2015-06-12,USD,0.890313390313390
2015-06-12,ZAR,0.071633237822350
2015-06-13,AUD,0.686813186813187
2015-06-13,BGN,0.511299723898149
2015-06-13,BRL,0.288018433179724
2015-06-13,CAD,0.724427702115329
2015-06-13,CHF,0.955201069825198
2015-06-13,CNY,0.143564711793841
2015-06-13,CZK,0.036630036630037
2015-06-13,DKK,0.134024901826759
2015-06-13,GBP,1.380262249827467
2015-06-13,HKD,0.114955742039315
2015-06-13,HRK,0.132187706543291
2015-06-13,HUF,0.003203793291257
2015-06-13,IDR,0.000066885023975
2015-06-13,ILS,0.231615518239722
2015-06-13,INR,0.013908786180230
2015-06-13,JPY,0.007205649228996
2015-06-13,KRW,0.000799053920159
2015-06-13,MXN,0.057760064691272
2015-06-13,MYR,0.237495843822733
2015-06-13,NOK,0.115008625646924
2015-06-13,NZD,0.621774544550146
2015-06-13,PHP,0.019694343784465
2015-06-13,PLN,0.240981275754874
2015-06-13,RON,0.223523626447315
2015-06-13,RUB,0.016178611875101
2015-06-13,SEK,0.108648413733159
2015-06-13,SGD,0.661113314822161
2015-06-13,THB,0.026441036488630
2015-06-13,TRY,0.328083989501312
2015-06-13,USD,0.891265597147950
2015-06-13,ZAR,0.071797817346353
2015-06-14,AUD,0.686813186813187
2015-06-14,BGN,0.511299723898149
2015-06-14,BRL,0.288018433179724
2015-06-14,CAD,0.724427702115329
2015-06-14,CHF,0.955201069825198
2015-06-14,CNY,0.143564711793841
2015-06-14,CZK,0.036630036630037
2015-06-14,DKK,0.134024901826759
2015-06-14,GBP,1.380262249827467
2015-06-14,HKD,0.114955742039315
2015-06-14,HRK,0.132187706543291
2015-06-14,HUF,0.003203793291257
2015-06-14,IDR,0.000066885023975
2015-06-14,ILS,0.231615518239722
2015-06-14,INR,0.013908786180230
2015-06-14,JPY,0.007205649228996
2015-06-14,KRW,0.000799053920159
2015-06-14,MXN,0.057760064691272
2015-06-14,MYR,0.237495843822733
2015-06-14,NOK,0.115008625646924
2015-06-14,NZD,0.621774544550146
2015-06-14,PHP,0.019694343784465
2015-06-14,PLN,0.240981275754874
2015-06-14,RON,0.223523626447315
2015-06-14,RUB,0.016178611875101
2015-06-14,SEK,0.108648413733159
2015-06-14,SGD,0.661113314822161
2015-06-14,THB,0.026441036488630
2015-06-14,TRY,0.328083989501312
2015-06-14,USD,0.891265597147950
2015-06-14,ZAR,0.071797817346353
2015-06-15,AUD,0.686813186813187
2015-06-15,BGN,0.511299723898149
2015-06-15,BRL,0.288018433179724
2015-06-15,CAD,0.724427702115329
2015-06-15,CHF,0.955201069825198
2015-06-15,CNY,0.143564711793841
2015-06-15,CZK,0.036630036630037
2015-06-15,DKK,0.134024901826759
2015-06-15,GBP,1.380262249827467
2015-06-15,HKD,0.114955742039315
2015-06-15,HRK,0.132187706543291
2015-06-15,HUF,0.003203793291257
2015-06-15,IDR,0.000066885023975
2015-06-15,ILS,0.231615518239722
2015-06-15,INR,0.013908786180230
2015-06-15,JPY,0.007205649228996
2015-06-15,KRW,0.000799053920159
2015-06-15,MXN,0.057760064691272
2015-06-15,MYR,0.237495843822733
2015-06-15,NOK,0.115008625646924
2015-06-15,NZD,0.621774544550146
2015-06-15,PHP,0.019694343784465
2015-06-15,PLN,0.240981275754874
2015-06-15,RON,0.223523626447315
2015-06-15,RUB,0.016178611875101
2015-06-15,SEK,0.108648413733159
2015-06-15,SGD,0.661113314822161
2015-06-15,THB,0.026441036488630
2015-06-15,TRY,0.328083989501312
2015-06-15,USD,0.891265597147950
2015-06-15,ZAR,0.071797817346353
2015-06-16,AUD,0.691276095672612
2015-06-16,BGN,0.511299723898149
2015-06-16,BRL,0.284624580178744
2015-06-16,CAD,0.722282412423257
2015-06-16,CHF,0.951293759512938
2015-06-16,CNY,0.143568834077498
2015-06-16,CZK,0.036658235272554
2015-06-16,DKK,0.134051851256066
2015-06-16,GBP,1.382361072712192
2015-06-16,HKD,0.114979533643012
2015-06-16,HRK,0.132004488152597
2015-06-16,HUF,0.003191828917970
2015-06-16,IDR,0.000066875272935
2015-06-16,ILS,0.231980884775095
2015-06-16,INR,0.013892168984344
2015-06-16,JPY,0.007218131947452
2015-06-16,KRW,0.000797766254487
2015-06-16,MXN,0.057713395279044
2015-06-16,MYR,0.237051084508712
2015-06-16,NOK,0.114784205693297
2015-06-16,NZD,0.622936522768330
2015-06-16,PHP,0.019710259189908
2015-06-16,PLN,0.240540735573569
2015-06-16,RON,0.222816399286988
2015-06-16,RUB,0.016258576399050
2015-06-16,SEK,0.108956199607758
2015-06-16,SGD,0.661944793804197
2015-06-16,THB,0.026442434819398
2015-06-16,TRY,0.325330210163316
2015-06-16,USD,0.891424496345160
2015-06-16,ZAR,0.071751452966923
2015-06-17,AUD,0.690512360171247
2015-06-17,BGN,0.511299723898149
2015-06-17,BRL,0.284495021337127
2015-06-17,CAD,0.722386765874449
2015-06-17,CHF,0.955566172957477
2015-06-17,CNY,0.143572956597895
2015-06-17,CZK,0.036691861745065
2015-06-17,DKK,0.134096791063790
2015-06-17,GBP,1.392369813422445
2015-06-17,HKD,0.115009948360533
2015-06-17,HRK,0.131995776135164
2015-06-17,HUF,0.003206361421059
2015-06-17,IDR,0.000066821246484
2015-06-17,ILS,0.232255667038276
2015-06-17,INR,0.013865202501283
2015-06-17,JPY,0.007224389539084
2015-06-17,KRW,0.000796146650213
2015-06-17,MXN,0.057710064635272
2015-06-17,MYR,0.237490203529104
2015-06-17,NOK,0.114639458901754
2015-06-17,NZD,0.622742558226429
2015-06-17,PHP,0.019721143037450
2015-06-17,PLN,0.241266164833044
2015-06-17,RON,0.222950527277997
2015-06-17,RUB,0.016423327694657
2015-06-17,SEK,0.108761855042200
2015-06-17,SGD,0.662339382699695
2015-06-17,THB,0.026462727248670
2015-06-17,TRY,0.325658644608721
2015-06-17,USD,0.891662951404369
2015-06-17,ZAR,0.071628106869135
2015-06-18,AUD,0.680549884306520
2015-06-18,BGN,0.511299723898149
2015-06-18,BRL,0.286106660563058
2015-06-18,CAD,0.720097933318931
2015-06-18,CHF,0.956846234810066
2015-06-18,CNY,0.142836737608913
2015-06-18,CZK,0.036710719530103
2015-06-18,DKK,0.134093194770365
2015-06-18,GBP,1.394700139470014
2015-06-18,HKD,0.114357596203328
2015-06-18,HRK,0.131891321551042
2015-06-18,HUF,0.003206772703951
2015-06-18,IDR,0.000066436927770
2015-06-18,ILS,0.230733733271804
2015-06-18,INR,0.013822846400531
2015-06-18,JPY,0.007154099298898
2015-06-18,KRW,0.000791552551174
2015-06-18,MXN,0.057524160147262
2015-06-18,MYR,0.236094059873454
2015-06-18,NOK,0.114619748982750
