ID,transactionDateTime,amount,channelUID,txCurrency,playerID,txType
21685678,"42814,6910239",200,IPHONE,SEK,116068965,DEPOSIT
21685688,"42814,691102442",20,DESKTOP,EUR,116033915,DEPOSIT
21685859,"42814,693532269",200,IPHONE,SEK,116068965,DEPOSIT
21686023,"42814,695883356",100,IPHONE,SEK,116068965,DEPOSIT
21686258,"42814,699444479",300,ANDROID,SEK,116053877,DEPOSIT
21686704,"42814,706178715",300,ANDROID,SEK,116053877,DEPOSIT
21686761,"42814,706863275",100,IPHONE,SEK,116068965,DEPOSIT
21687091,"42814,711290498",100,IPHONE,SEK,116068965,DEPOSIT
21687143,"42814,712201157",200,ANDROID,SEK,116053877,DEPOSIT
21687149,"42814,712266192",20,DESKTOP,EUR,116004723,DEPOSIT
21687357,"42814,715083542",100,ANDROID,SEK,116084344,DEPOSIT
21687492,"42814,717029537",100,IPHONE,SEK,116068965,DEPOSIT
21687691,"42814,719962164",100,IPHONE,SEK,116068965,DEPOSIT
21687709,"42814,720187014",1500,DESKTOP,SEK,116039551,WITHDRAWAL
21687712,"42814,720260949",210,ANDROID,SEK,116053877,DEPOSIT
21687729,"42814,720542859",100,ANDROID,SEK,116084344,DEPOSIT
21687738,"42814,720712431",30,IPHONE,EUR,116026491,DEPOSIT
21687822,"42814,721776632",100,IPHONE,SEK,116068965,DEPOSIT
21687920,"42814,723115046",100,IPHONE,SEK,116068965,DEPOSIT
21688045,"42814,724772431",15,DESKTOP,EUR,116004723,DEPOSIT
21688104,"42814,725833032",100,ANDROID,SEK,116084344,DEPOSIT
21688224,"42814,727625139",158,ANDROID,SEK,116018807,DEPOSIT
21688366,"42814,7299525",100,ANDROID,SEK,116084344,DEPOSIT
21688508,"42814,732182975",100,IPHONE,SEK,116034932,DEPOSIT
21688550,"42814,73285522",100,ANDROID,SEK,116084344,DEPOSIT
21688720,"42814,73564456",1200,IPHONE,SEK,116068965,PENDING_WITHDRAWAL
21689046,"42814,740114444",100,IPHONE,SEK,116034932,DEPOSIT
21689145,"42814,741430475",200,DESKTOP,SEK,116040034,DEPOSIT
21689546,"42814,746827245",100,DESKTOP,SEK,116051835,DEPOSIT
21689657,"42814,748469699",500,ANDROID,SEK,116084344,PENDING_WITHDRAWAL
21689919,"42814,751638889",500,IPHONE,SEK,116034932,PENDING_WITHDRAWAL
21690588,"42814,761177176",100,DESKTOP,SEK,116018788,DEPOSIT
21690732,"42814,763071319",100,DESKTOP,SEK,116018788,DEPOSIT
21691444,"42814,772004352",10,ANDROID,GBP,116066413,DEPOSIT
21691642,"42814,774706505",500,IPHONE,SEK,116034932,CANCEL_WITHDRAWAL
21691662,"42814,774998588",400,IPHONE,SEK,116034932,PENDING_WITHDRAWAL
21692530,"42814,786443484",1500,DESKTOP,SEK,116018788,PENDING_WITHDRAWAL
21692543,"42814,786692095",250,DESKTOP,SEK,116053879,DEPOSIT
21692646,"42814,788152083",500,ANDROID,SEK,116084344,WITHDRAWAL
21692665,"42814,788415521",200,ANDROID,SEK,116062837,DEPOSIT
21692765,"42814,789635845",100,IPHONE,SEK,116068965,DEPOSIT
21692861,"42814,791002975",100,IPHONE,SEK,116068965,DEPOSIT
21692931,"42814,791882361",100,IPHONE,SEK,116068965,DEPOSIT
21693058,"42814,793383958",100,IPHONE,SEK,116068965,DEPOSIT
21693148,"42814,794596875",100,IPHONE,SEK,116068965,DEPOSIT
21693286,"42814,796613808",100,IPHONE,SEK,116068965,DEPOSIT
21693566,"42814,800691944",10,ANDROID,EUR,116071012,DEPOSIT
21693623,"42814,80155816",100,IPHONE,SEK,116068965,DEPOSIT
21693699,"42814,802516701",500,DESKTOP,EUR,116033915,PENDING_WITHDRAWAL
21693722,"42814,802768218",100,IPHONE,SEK,116068965,DEPOSIT
21693814,"42814,803977813",100,IPHONE,SEK,116068965,DEPOSIT
21694018,"42814,806723889",400,IPHONE,SEK,116034932,WITHDRAWAL
21694493,"42814,813105463",100,IPHONE,SEK,116034932,DEPOSIT
21694759,"42814,816210046",20,DESKTOP,EUR,116055923,DEPOSIT
21694762,"42814,816238137",700,DESKTOP,SEK,116060024,DEPOSIT
21694826,"42814,817004745",100,IPHONE,SEK,116068965,DEPOSIT
21694940,"42814,818681065",100,IPHONE,SEK,116068965,DEPOSIT
21695115,"42814,821009259",600,ANDROID,SEK,116040561,DEPOSIT
21695269,"42814,823153449",100,IPHONE,SEK,116034932,DEPOSIT
21695552,"42814,826752153",1500,DESKTOP,SEK,116018788,WITHDRAWAL
21695580,"42814,827082627",2900,DESKTOP,SEK,116060024,PENDING_WITHDRAWAL
21695751,"42814,829745069",600,ANDROID,SEK,116040561,DEPOSIT
21695851,"42814,831119537",1200,IPHONE,SEK,116068965,WITHDRAWAL
21695880,"42814,831549676",125,IPHONE,SEK,116047714,DEPOSIT
21696616,"42814,842066157",700,DESKTOP,SEK,116060024,DEPOSIT
21696944,"42814,84611316",600,ANDROID,SEK,116026471,DEPOSIT
21697067,"42814,847744039",600,ANDROID,SEK,116092535,DEPOSIT
21697532,"42814,854132176",220,WINDOWS_PHONE,EUR,116066935,PENDING_WITHDRAWAL
21697642,"42814,855473056",100,ANDROID,SEK,116018788,DEPOSIT
21697644,"42814,855514317",100,IPHONE,SEK,116068965,DEPOSIT
21697881,"42814,858638796",30,ANDROID,EUR,116074865,DEPOSIT
21697896,"42814,858834688",100,IPHONE,SEK,116068965,DEPOSIT
21698190,"42814,86246375",300,IPHONE,SEK,116046692,DEPOSIT
21698374,"42814,864782373",220,WINDOWS_PHONE,EUR,116066935,CANCEL_WITHDRAWAL
21698400,"42814,865072581",420,WINDOWS_PHONE,EUR,116066935,PENDING_WITHDRAWAL
21698920,"42814,872042546",100,DESKTOP,EUR,116088173,DEPOSIT
21698997,"42814,873234282",420,WINDOWS_PHONE,EUR,116066935,CANCEL_WITHDRAWAL
21699019,"42814,87358934",570,WINDOWS_PHONE,EUR,116066935,PENDING_WITHDRAWAL
21699354,"42814,878330162",600,IPHONE,SEK,116046692,DEPOSIT
21700009,"42814,886589711",30,ANDROID,EUR,116074865,DEPOSIT
21701175,"42814,902688519",100,DESKTOP,EUR,116088173,DEPOSIT
21702081,"42814,916268275",400,IPHONE,SEK,116068965,PENDING_WITHDRAWAL
21702821,"42814,927504896",100,IPHONE,SEK,116078960,DEPOSIT
21703321,"42814,934182118",200,DESKTOP,EUR,116088173,PENDING_WITHDRAWAL
21703982,"42814,945208345",700,DESKTOP,SEK,116060024,DEPOSIT
21704082,"42814,946981574",200,DESKTOP,EUR,116088173,CANCEL_WITHDRAWAL
21704192,"42814,949191215",600,ANDROID,SEK,116081524,DEPOSIT
21704210,"42814,949703912",100,ANDROID,SEK,116091519,DEPOSIT
21704745,"42814,959860197",101,ANDROID,SEK,116091519,DEPOSIT
21705444,"42814,973528472",10,IPHONE,GBP,116048492,DEPOSIT
21706122,"42814,986967211",10,IPHONE,GBP,116048492,DEPOSIT
21706285,"42814,990306308",200,IPHONE,SEK,116037491,DEPOSIT
21706341,"42814,991604757",570,WINDOWS_PHONE,EUR,116066935,CANCEL_WITHDRAWAL
21706367,"42814,99197787",880,WINDOWS_PHONE,EUR,116066935,PENDING_WITHDRAWAL
21706457,"42814,993981725",10,IPHONE,GBP,116048492,DEPOSIT
21706587,"42814,996898102",200,ANDROID,SEK,116091519,DEPOSIT
21706660,"42814,998306262",2900,DESKTOP,SEK,116060024,CANCEL_WITHDRAWAL
21706705,"42814,999585046",10,IPHONE,GBP,116048492,DEPOSIT
