BetID,Date,transactionDateTime,realAmount,bonusAmount,channelUID,txCurrency,playerID,gameID,txType
7183817,2017-03-20,"42814,003003669",5,0,DESKTOP,SEK,116053877,2466,RESULT
7183818,2017-03-20,"42814,003113125",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183818,2017-03-20,"42814,003120289","2,5",0,DESKTOP,SEK,116053877,2466,RESULT
7183819,2017-03-20,"42814,003175729",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183819,2017-03-20,"42814,003182674",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183820,2017-03-20,"42814,003266713",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183820,2017-03-20,"42814,003273762",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183821,2017-03-20,"42814,003325174",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183821,2017-03-20,"42814,003332812",10,0,DESKTOP,SEK,116053877,2466,RESULT
7183822,2017-03-20,"42814,003418102",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183822,2017-03-20,"42814,00342522",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183823,2017-03-20,"42814,003475266",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183823,2017-03-20,"42814,00348228",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183824,2017-03-20,"42814,003579225",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183824,2017-03-20,"42814,003586123",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183825,2017-03-20,"42814,003644271",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183825,2017-03-20,"42814,003651308",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183826,2017-03-20,"42814,003705266",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183826,2017-03-20,"42814,003712049",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183827,2017-03-20,"42814,003767778",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183827,2017-03-20,"42814,003774676",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183828,2017-03-20,"42814,003830648",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183828,2017-03-20,"42814,003837604",0,0,DESKTOP,SEK,116053877,2466,RESULT
