transaction_hour,country,playerID,Game Category,payment_transaction_volume,payment_transaction_total_amount,cancelled_withdrawal_amount,pending_withdrawal_amount,deposit_amount,withdrawal_amount,cancelled_withdrawal_count,withdrawal_count,deposit_count,game_transaction_volume,game_total_amount,sum_wager_value,sum_result_value,count_wager_operations,count_result_operations,profit
2017-03-20 00:00:00,SE,116058225,Slots,,,,,,,,,,5.0,27.0,2.3253355882042,0.5284853609555,4.0,1.0,1.7968502272487
2017-03-20 00:00:00,SE,116059489,Unknown,,,,,,,,,,1.0,4.0,0.4227882887644,0.0,1.0,0.0,0.4227882887644
2017-03-20 00:00:00,SE,116060024,Slots,,,,,,,,,,16.0,340.0,21.3508085826022,14.586195962371802,10.0,6.0,6.7646126202303964
2017-03-20 00:00:00,SE,116060024,Unknown,,,,,,,,,,1.0,10.0,1.056970721911,0.0,1.0,0.0,1.056970721911
2017-03-20 00:00:00,SE,116062837,Slots,,,,,,,,,,23.0,1028.0,44.0756791036887,64.58091110876211,11.0,12.0,-20.50523200507341
2017-03-20 00:00:00,SE,116068965,N/A,1.0,21.13941443822,0.0,0.0,21.13941443822,0.0,0.0,0.0,1.0,,,,,,,
2017-03-20 00:00:00,SE,116068965,Slots,,,,,,,,,,77.0,6673.0,46.0839234753196,659.2326392558907,35.0,42.0,-613.1487157805711
2017-03-20 00:00:00,SE,116068965,Unknown,,,,,,,,,,1.0,144.0,15.2203783955184,0.0,1.0,0.0,15.2203783955184
2017-03-20 00:00:00,SE,116078708,Unknown,,,,,,,,,,1.0,6.0,0.0,0.6341824331465999,0.0,1.0,-0.6341824331465999
2017-03-20 00:00:00,SE,116081524,Slots,,,,,,,,,,8.0,235.0,15.3260754677095,9.512736497199,6.0,2.0,5.8133389705105
2017-03-20 00:00:00,SE,116081524,Unknown,,,,,,,,,,7.0,33.0,0.1056970721911,3.3823063101152,1.0,6.0,-3.2766092379241
2017-03-20 00:00:00,SE,116084344,N/A,1.0,10.56970721911,0.0,0.0,10.56970721911,0.0,0.0,0.0,1.0,,,,,,,
2017-03-20 00:00:00,SE,116084344,Slots,,,,,,,,,,13.0,424.0,2.5367297325863998,42.27882887644,6.0,7.0,-39.7420991438536
2017-03-20 00:00:00,SE,116088956,Slots,,,,,,,,,,24.0,200.0,2.3253355882042,18.8140788500158,11.0,13.0,-16.4887432618116
2017-03-20 00:00:00,SE,116091748,Slots,,,,,,,,,,25.0,62.0,4.227882887644,2.3253355882042,8.0,17.0,1.9025472994398003
2017-03-20 00:00:00,SE,116099685,Slots,,,,,,,,,,14.0,91.0,8.455765775288,1.1626677941021,8.0,6.0,7.2930979811859
2017-03-20 01:00:00,AT,116004723,Slots,,,,,,,,,,35.0,893.0,204.0,689.0,15.0,20.0,-485.0
